Cut	 برش
Flowchart	روندنما
Hue	رنگ
Secondary Colors	رنگ ثانویه
Primary Colors	رنگهای اصلی
digit	رقم
numeral	رقم
digital	رقمی
carry	رقمِ نَقلی
Hello World	سلام به دنیا
Icon	شمایل
launch icon	شمایل راه اندازی
enumeration	شمارش
count	شمارش
enumerated	شمارشی
counter	شمارشگر
dial up	شماره گیری
dial	شماره‌گیری
redial	شماره‌گیری مجدد
time	زمان
run-time	زمان اجرا
timing	زمان بندی
Uptime	زمان دایر بودن
down time	زمانِ بی‌کاری
idle time	زمانِ بی‌کاری
compile-time	زمانِ ترجمه
scheduler	زمان‌بند
Schedule	زمان‌بندی
Timer	زمان‌سنج
side	سمت
rightmost	سمتِ‌راست‌ترین
Background	زمینه
hierarchical	سلسله‌مراتبی
hierachy	سلسه مراتب
Cell	سلول
char cell	سلول نویسه‌ای
Cellular	سلولی
inclusive	شامل
Histogram	سابقه‌نما
seashore	ساحل دریا
structure	ساختار
stub	ساخته‌گی
Build	ساختن
dummy	ساختگی
structured	ساخت‌یافته
Export	صادر(ات)
Indicator	شاخص
Peak indicator	شاخص اوج
branch	شاخه
simple	ساده
contrast	سایه‌روشن
simplex	سادک
organization	سازمان
constructor	سازنده
mechanism	سازوکار
consistent	سازگار
consistency	سازگاری
clock	ساعت
hexadecimal	شانزده‌شانزدهی
abort	ساقط کردن
Trash	زباله
Accelerator	شتاب‌ده
acceleration	شتاب‌دهی
star	ستاره
asterisk	ستاره (*)
Language	زبان
FORTRAN	زبانِ فورترن
Daemon	شبح
Unix-like	شبیه یونیكس
simulation	شبیه‌سازی
column	ستون
Style	سبک
token ring	شبکه‌ی حلقوی
Network	شبكه
LAN	شبكه داخلی
WAN	شبكه گسترده
wire	سیم (کشی)
traffic	شدآمد
silicon	سیلیسیوم
voice	صدا
track	شیار
Hardware	سخت‌افزار
substring	زیر رشته
Subnet	زیر شبکه
I/O subsystem	زیر سیستم ورود و خروج
Submenu	زیر فهرست
Footer	زیر نویس
subset	زیرمجموعه
subprogram	زیربرنامه
subtree	زیردرخت
subroutine	زیرروال
Infrastructure	زیرساخت
subsystem	زیرسیستم
Subdirectory	زیرفهرست
Subscript	زیرنویس
System	سیستم
Filesystem	سیستم پرونده
Operating System	سیستمِ عامل
head	سر
topic	سر فصل
decrypt	سر گشایی
Headword	سر کلمه
Header	سرآیند
Global	سراسری
overflow	سرریز
velocity	سرعت
speed	سرعت
acronym	سرنام
administrator	سرپرست
System Administrator	سرپرست سیستم
Administration	سرپرستی
System-Administration	سرپرستی سیستم
Condition	شرط
Urgent condition	شرط مبرم
conditional	شرطی
radius	شعاع
Retry	سعی مجدد
Queue	صف
Customize	سفارشی کردن
Transparent	شفاف
Page	صفحه
sheet	صفحه
canvas	صفحه مجازی
Man page	صفحه راهنما
Manual page	صفحه راهنما
Web Page	صفحه وب
Secure keyboard	صفحه کلید امن
paging	صفحه‌بندی
spreadsheet	صفحه‌ی گسترده
Keyboard	صفحه‌كلید
zero	صفر
Intuitive	شهودی
triple	سه‌گانه
object	شئ
Mount	سوار کردن
identification	شناسایی
ID	شناسه
Identifier	شناسه
PID	شناسه فرآیند
Process ID	شناسه فرآیند
userid	شناسه كاربر
Float	شناور
